symbol,date,open,high,low,close,volume
AAL,2014-01-02,25.07,25.82,25.06,25.36,8998943
AAPL,2014-01-02,79.3828,79.5756,78.8601,79.0185,58791957
AAP,2014-01-02,110.36,111.88,109.29,109.74,542711
ABBV,2014-01-02,52.12,52.33,51.52,51.98,4569061
ABC,2014-01-02,70.11,70.23,69.48,69.89,1148391
ABT,2014-01-02,38.09,38.4,38.0,38.23,4967472
ACN,2014-01-02,81.5,81.92,81.09,81.13,2405384
ADBE,2014-01-02,59.06,59.53,58.94,59.29,2746370
ADI,2014-01-02,49.52,49.75,49.04,49.28,2799092
ADM,2014-01-02,43.22,43.29,42.79,42.99,2753765
ADP,2014-01-02,80.17,80.45,79.38,79.86,1965869
ADSK,2014-01-02,49.33,49.74,48.88,49.25,2488043
ADS,2014-01-02,262.44,262.68,258.78,262.34,547808
AEE,2014-01-02,36.05,36.11,35.47,35.53,1394264
AEP,2014-01-02,46.98,47.06,46.04,46.13,2752002
AES,2014-01-02,14.51,14.56,14.19,14.27,3987216
AET,2014-01-02,68.21,68.6,67.52,67.56,1650687
AFL,2014-01-02,66.63,66.694,65.81,65.96,1914657
AGN,2014-01-02,167.33,170.71,166.5937,168.05,1268722
AIG,2014-01-02,50.81,51.3,50.47,50.71,9198092
AIV,2014-01-02,25.9,26.14,25.66,25.91,844901
AIZ,2014-01-02,66.04,66.19,65.15,65.32,375524
AJG,2014-01-02,46.67,46.89,46.09,46.15,483694
AKAM,2014-01-02,47.11,47.1799,46.42,46.53,935107
ALB,2014-01-02,63.38,63.6,62.6,63.14,548782
ALGN,2014-01-02,57.06,57.37,56.43,56.96,437600
ALK,2014-01-02,36.665,36.965,36.275,36.59,900234
ALLE,2014-01-02,44.08,44.18,43.27,43.65,992872
ALL,2014-01-02,54.09,54.45,53.5,53.55,1909106
ALXN,2014-01-02,132.46,133.82,130.54,133.44,760197
AMAT,2014-01-02,17.69,17.69,17.37,17.55,7785873
AMD,2014-01-02,3.85,3.98,3.84,3.95,20569754
AME,2014-01-02,52.43,52.52,51.9,52.09,570244
AMGN,2014-01-02,114.36,116.19,114.06,115.795,2529728
AMG,2014-01-02,215.92,216.69,211.79,213.38,285563
AMP,2014-01-02,114.58,114.81,113.42,113.88,783767
AMT,2014-01-02,79.51,79.74,78.85,79.45,1701345
AMZN,2014-01-02,398.8,399.36,394.02,397.97,2140246
ANDV,2014-01-02,58.2,59.07,57.2601,57.96,2868883
ANSS,2014-01-02,86.44,87.15,85.29,86.01,276882
ANTM,2014-01-02,92.0,92.01,90.62,90.63,1432038
AON,2014-01-02,83.36,83.7,82.26,82.36,1209157
AOS,2014-01-02,26.965,26.99,26.535,26.66,1296914
APA,2014-01-02,85.82,85.97,85.16,85.48,2565384
APC,2014-01-02,79.03,79.03,78.01,78.56,3352844
APD,2014-01-02,111.56,111.95,111.11,111.44,839074
APH,2014-01-02,44.365,44.395,43.73,43.87,883640
ARE,2014-01-02,63.34,64.11,62.93,63.73,402659
ARNC,2014-01-02,31.59,31.74,30.93,31.59,7432953
ATVI,2014-01-02,17.91,18.075,17.8,18.07,6620855
AVB,2014-01-02,118.25,119.26,117.68,118.24,901928
AVGO,2014-01-02,52.85,52.88,51.89,52.65,1453732
AVY,2014-01-02,50.09,50.19,49.445,49.61,645964
AWK,2014-01-02,42.01,42.0899,41.5,41.58,788839
AXP,2014-01-02,90.9,91.08,89.38,89.45,5120019
AYI,2014-01-02,109.22,109.26,106.84,107.65,254146
AZO,2014-01-02,477.67,479.7,472.51,474.11,151840
A,2014-01-02,57.1,57.1,56.15,56.21,1916160
AAL,2014-01-03,25.75,26.75,25.51,26.54,13836062
AAPL,2014-01-03,78.9799,79.0999,77.2042,77.2828,98303870
AAP,2014-01-03,111.23,114.33,110.58,112.88,987718
ABBV,2014-01-03,52.25,52.665,51.9675,52.3,4794591
ABC,2014-01-03,69.89,70.21,69.81,69.94,1101319
ABT,2014-01-03,38.37,38.78,38.27,38.64,4301604
ACN,2014-01-03,81.21,81.82,81.09,81.4,1812566
ADBE,2014-01-03,59.19,59.685,59.11,59.16,1588951
ADI,2014-01-03,49.27,49.79,49.14,49.61,1644748
ADM,2014-01-03,43.1,43.38,42.88,43.19,2275519
ADP,2014-01-03,80.21,81.37,80.0,80.73,1948060
ADSK,2014-01-03,49.11,49.5,48.78,48.9,1934150
ADS,2014-01-03,263.1,265.3499,262.36,263.7,497953
AEE,2014-01-03,35.63,35.69,35.215,35.4,1206534
AEP,2014-01-03,46.25,46.418,45.8,46.11,2419159
AES,2014-01-03,14.28,14.35,14.11,14.2,4104721
AET,2014-01-03,67.68,68.26,67.67,67.85,810769
AFL,2014-01-03,66.08,66.54,66.045,66.15,1279123
AGN,2014-01-03,167.52,168.66,166.38,168.02,615628
AIG,2014-01-03,50.67,51.23,50.61,50.92,7278160
AIV,2014-01-03,25.87,26.1,25.78,25.91,1206160
AIZ,2014-01-03,65.5,66.03,65.21,65.72,567774
AJG,2014-01-03,46.11,46.34,46.05,46.16,282512
AKAM,2014-01-03,46.68,46.96,46.27,46.45,960420
